Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2017-331148,04/05/2015,04/09/2015,Standard Class,CG-68878,Customer 1,Corporate,United States,City 1,Montana,87237,West,TEC-5557-10,Furniture,Furnishings,Product 1,167.73,4,0.2,-2.32
2,CA-2017-662275,11/25/2014,12/01/2014,Standard Class,CG-26361,Customer 2,Corporate,United States,City 2,Indiana,59616,Central,TEC-2291-80,Furniture,Chairs,Product 2,588.49,6,0.5,30.6
3,CA-2017-766563,08/26/2015,09/03/2015,Second Class,CG-57819,Customer 3,Consumer,United States,City 3,Kansas,31320,Central,TEC-7065-55,Furniture,Bookcases,Product 3,1166.41,2,0.5,123.45
4,CA-2015-817870,03/08/2015,03/14/2015,Second Class,CG-52504,Customer 4,Home Office,United States,City 4,Idaho,17332,West,TEC-4752-14,Technology,Accessories,Product 4,450.34,7,0.0,155.07
5,CA-2016-883300,10/11/2015,10/17/2015,Second Class,CG-86622,Customer 5,Consumer,United States,City 5,Nevada,66156,West,TEC-7543-56,Technology,Machines,Product 5,1019.3,11,0.0,121.83
6,CA-2017-724834,03/28/2015,04/05/2015,First Class,CG-71348,Customer 6,Consumer,United States,City 6,Maine,79353,East,TEC-5119-80,Office Supplies,Art,Product 6,80.66,3,0.4,-16.12
7,CA-2015-632342,01/26/2014,02/01/2014,Standard Class,CG-23947,Customer 7,Consumer,United States,City 7,Montana,91960,West,TEC-5889-91,Office Supplies,Envelopes,Product 7,83.29,1,0.7,-6.74
8,CA-2016-351083,11/07/2016,11/13/2016,First Class,CG-17592,Customer 8,Home Office,United States,City 8,Connecticut,41572,East,TEC-2290-20,Furniture,Furnishings,Product 8,910.45,8,0.0,314.44
9,CA-2015-847581,09/24/2016,10/02/2016,Standard Class,CG-50857,Customer 9,Home Office,United States,City 9,Massachusetts,62297,East,TEC-7118-66,Technology,Copiers,Product 9,1342.8,10,0.0,154.03
10,CA-2014-132938,11/27/2016,12/03/2016,Standard Class,CG-53309,Customer 10,Consumer,United States,City 10,New Jersey,19288,East,TEC-9423-40,Furniture,Tables,Product 10,368.27,4,0.0,78.97
11,CA-2016-544154,07/27/2015,08/02/2015,Standard Class,CG-63883,Customer 11,Home Office,United States,City 11,Maine,71214,East,TEC-1887-96,Furniture,Furnishings,Product 11,1183.39,13,0.0,99.02
12,CA-2014-564656,09/02/2017,09/10/2017,Standard Class,CG-82132,Customer 12,Consumer,United States,City 12,California,22834,West,TEC-1828-93,Office Supplies,Envelopes,Product 12,99.15,8,0.0,8.92
13,CA-2017-399105,01/14/2017,01/22/2017,Standard Class,CG-65444,Customer 13,Corporate,United States,City 13,Nevada,82846,West,TEC-8973-29,Furniture,Storage,Product 13,1301.04,1,0.0,61.51
14,CA-2014-992697,01/26/2015,01/30/2015,Standard Class,CG-34356,Customer 14,Home Office,United States,City 14,Idaho,18982,West,TEC-2113-96,Technology,Phones,Product 14,172.85,8,0.2,39.16
15,CA-2016-350280,04/29/2015,05/05/2015,Standard Class,CG-44814,Customer 15,Home Office,United States,City 15,Rhode Island,61877,East,TEC-3144-95,Technology,Phones,Product 15,1660.56,10,0.2,536.84
16,CA-2016-172132,08/16/2017,08/20/2017,Same Day,CG-42018,Customer 16,Home Office,United States,City 16,Illinois,58435,Central,TEC-5669-30,Furniture,Storage,Product 16,1494.26,2,0.2,286.79
17,CA-2014-878480,06/18/2016,06/26/2016,First Class,CG-82512,Customer 17,Home Office,United States,City 17,Kansas,30375,Central,TEC-5462-46,Technology,Phones,Product 17,783.48,11,0.0,236.15
18,CA-2014-103717,05/25/2017,05/29/2017,Standard Class,CG-53719,Customer 18,Home Office,United States,City 18,Michigan,27147,Central,TEC-5291-30,Technology,Machines,Product 18,2268.07,14,0.0,558.16
19,CA-2015-550664,06/25/2016,07/01/2016,First Class,CG-26704,Customer 19,Consumer,United States,City 19,Louisiana,15483,South,TEC-6050-56,Furniture,Bookcases,Product 19,1045.8,3,0.2,317.44
20,CA-2015-270395,03/25/2014,04/02/2014,Second Class,CG-33206,Customer 20,Corporate,United States,City 20,New Jersey,64041,East,TEC-1406-32,Technology,Phones,Product 20,2216.13,7,0.7,5.6
21,CA-2016-420015,11/14/2015,11/20/2015,Standard Class,CG-39831,Customer 21,Home Office,United States,City 21,Virginia,39220,South,TEC-1387-94,Office Supplies,Binders,Product 21,436.72,14,0.0,64.72
22,CA-2016-287241,02/02/2015,02/06/2015,Standard Class,CG-86099,Customer 22,Home Office,United States,City 22,Illinois,44796,Central,TEC-1626-23,Office Supplies,Envelopes,Product 22,341.36,14,0.2,97.87
23,CA-2015-481913,05/08/2017,05/14/2017,First Class,CG-66531,Customer 23,Corporate,United States,City 23,Missouri,19172,Central,TEC-6409-89,Technology,Phones,Product 23,515.69,1,0.32,-22.94
24,CA-2017-810219,10/07/2015,10/13/2015,Standard Class,CG-32810,Customer 24,Home Office,United States,City 24,Oregon,90677,West,TEC-5930-61,Technology,Machines,Product 24,1035.88,5,0.2,118.01
25,CA-2015-790855,01/29/2017,02/06/2017,Second Class,CG-21114,Customer 25,Home Office,United States,City 25,Indiana,47197,Central,TEC-9445-94,Furniture,Storage,Product 25,503.71,8,0.0,56.41
